rice,weed,pest,straw,bird,herbicide,frog,snake
1750.527872,2967.014584,13.07438611,38.74016611,24.53161595,0,0,0
2275.290604,3560.616491,1.055983971,28.6531373,23.40503038,0,0,0
2918.368149,4388.623475,9.576746304,30.38758663,25.52285162,0,0,0
3692.037322,5326.158958,19.86368275,22.26364573,27.70939562,4388.623475,0,0
4559.528373,2826.631726,33.84547957,32.90992216,30.21391497,2194.311737,0,0
5758.710658,2461.428532,48.99664734,24.77029283,33.27562054,1097.155869,0,0
7112.43707,3290.952356,70.99356038,8.859767736,36.38373566,548.5779343,0,0
8442.522998,4649.03988,95.37044999,0,39.44663165,274.2889672,0,0
9812.430956,6748.096376,129.4354585,1.537675796,42.92887647,137.1444836,0,0
11162.00883,8424.255332,165.2810354,0,47.13824301,6816.668617,0,0
12635.43501,4518.644511,208.9782126,0,51.87863038,3408.334309,0,0
14108.07091,4182.194179,262.0998122,0,56.5970002,1704.167154,0,0
15434.90515,5411.89282,316.3666237,0,61.93064624,852.0835772,0,0
16750.33205,7225.607608,371.44608,0,68.50178867,426.0417886,0,0
17901.71775,9016.84739,433.8312494,0,75.15939733,213.0208943,0,0
19047.00985,9583.945093,496.4172856,0,82.75849907,106.5104471,0,0
2705.50661,10482.27049,568.3740669,1716.911671,91.08334536,53.25522357,0,0
3190.871709,10679.69744,641.0739672,1647.862334,98.8674395,26.62761179,0,0
3749.136193,10947.46696,728.7783299,1578.861615,108.1253841,13.31380589,0,0
4364.753802,11206.83369,800.9073381,1487.159492,118.0944254,6.656902947,0,0
4997.685703,11585.1036,896.2143662,1395.912196,128.3022815,11210.16214,0,0
5716.118525,2997.230215,988.2198554,1291.939262,139.7538591,5605.081071,0,0
6707.131824,0,1097.607046,1170.740666,151.8017017,2802.540535,0,0
7903.374809,2199.848149,1201.622652,1032.505012,164.0157552,1401.270268,0,0
9188.56843,2882.711311,1235.624124,891.5123707,176.9713038,700.6351338,0,0
10758.45722,4710.148043,1237.930545,747.4810503,190.9927321,350.3175669,0,0
12415.50673,6769.435784,1324.171841,601.3278453,205.7438033,4885.306827,0,0
14158.10145,5247.26813,1424.007794,456.6277113,221.4088593,2442.653413,0,0
16193.91586,5866.000737,1543.524328,286.2975794,242.5335815,1221.326707,0,0
18315.02127,8140.937674,1688.425284,99.99403777,264.5563737,610.6633533,0,0
20227.91499,10993.54256,1785.299475,0,289.7467645,305.3316767,0,0
21304.10924,12791.06661,1897.506688,1.587038666,315.1913182,152.6658383,0,0
23180.88381,14707.19369,2009.199726,0,343.6256932,76.33291916,50,0
3602.267106,15863.21371,2100.139067,2087.501916,375.0894463,38.16645958,104.5197566,0
4344.720466,16105.20576,2192.585983,1837.34386,407.5262598,19.08322979,162.0735033,0
5277.680039,16352.13131,2299.037173,1574.157572,445.1747206,9.541614896,221.3953421,0
6438.938439,16643.97426,2196.184677,1301.560228,476.9371228,4.770807448,283.0259518,0
7770.083907,17071.94474,2137.610886,1040.267066,507.0772113,16646.35966,343.1720118,0
9629.800893,4284.980663,2133.98291,787.450366,543.1321411,8323.179831,399.2470763,0
11869.41896,890.3629005,2189.614542,528.0509669,581.285093,4161.589916,451.0924612,0
14334.04659,2813.425542,2263.22317,264.5437116,616.9445606,2080.794958,495.5877285,0
16964.82121,6497.401449,2131.987989,0,650.7801718,1040.397479,537.8355934,0
19552.58483,9636.697451,2069.974645,0,687.867287,520.1987395,578.3973274,10
22019.84406,13271.95227,2145.949197,2.005623179,731.5994541,9896.796821,614.2415795,20.38150935
24822.39291,6942.349163,2243.060436,0,777.1138577,4948.39841,636.9629187,30.68865932
26714.69862,9009.987967,2395.889916,0,831.9023738,2474.199205,652.3996851,40.85698941
28767.00195,11589.74051,2527.538529,2.028026863,885.5252036,1237.099603,672.2127513,50.61267619
29569.76885,13027.05255,2601.506415,0,945.057089,618.5498013,687.3304955,59.63052204
29739.41419,15137.96756,2707.682713,0,1008.652284,309.2749006,700.6274015,68.12845842
30449.08049,15314.48737,2770.936504,5.981252704,1080.384836,154.6374503,720.5815039,75.72884278
3421.755627,16594.78558,2857.97427,2460.931023,1154.048273,77.31872516,744.6100686,82.77873266
4090.051398,16606.2271,2905.957386,2113.422179,1243.257791,38.65936258,768.6611528,88.7814255
4817.98738,16810.83238,2924.486344,1776.759274,1336.474182,19.32968129,787.7558705,94.31313968
5561.804833,16977.09669,2542.349275,1427.456925,1344.317272,9.664840645,821.855976,99.55866742
6471.471083,16902.09871,2315.310511,1121.000445,1368.887232,16981.92911,838.4978589,104.4329539
7512.704132,3406.232257,2165.774924,844.7585143,1368.518485,8490.964556,859.9131838,109.3491351
9093.416165,0,2096.498566,577.9609176,1399.293332,4245.482278,843.3296377,114.0758278
10463.75445,2964.205013,2078.144771,337.3487747,1419.155338,2122.741139,828.9938519,118.092473
12000.73432,4127.748598,1834.121489,89.68120134,1366.284615,1061.37057,800.0260747,121.5338773
13600.98959,6114.220339,1659.272581,0,1310.173918,530.6852848,780.2523916,123.7183285
14803.91611,7628.480034,1611.174752,0,1314.791409,6379.562982,755.0049611,125.9116892
16061.19168,4876.673285,1626.224939,0,1337.45753,3189.781491,723.7941402,127.5517574
17395.75095,5286.049079,1634.666306,0.781224221,1378.313514,1594.890745,687.1929076,128.081467
18448.65848,6404.160992,1643.524605,0,1421.661106,797.4453727,660.7208715,127.7763121
19282.41986,7794.630061,1657.064755,0.056770856,1456.763443,398.7226864,640.4889996,127.4947993
19325.72675,8600.611858,1660.874692,0,1496.457369,199.3613432,626.1631832,126.8656001
20053.37632,10035.167,1654.540405,1.437001601,1549.452485,99.68067159,617.6779402,125.7764686
20571.32093,10720.45294,1652.17876,0,1602.819773,49.8403358,611.8859283,125.8502237
2025.605575,11063.64873,1630.861488,1857.869323,1667.93018,24.9201679,613.0389216,125.9075856
2212.825023,11071.17406,1660.162156,1660.790399,1731.601276,12.46008395,619.1371019,125.7676706
2405.095413,11164.05478,1666.833804,1460.18814,1788.275162,6.230041974,619.1829873,126.4236607
2628.422319,11229.62981,1432.009043,1259.176,1616.424012,11167.1698,610.4423881,126.9578561
2977.661703,2417.732329,1281.392973,1089.636579,1499.047231,5583.584902,608.5876433,127.1431347
3418.466744,0,1208.036929,934.7827477,1401.79496,2791.792451,603.1295087,127.7581971
3928.399637,1097.527251,1159.090541,781.1943535,1338.63177,1395.896225,584.7090474,127.5337238
4586.842583,1016.785921,935.0153375,641.242362,1111.996981,697.9481127,561.3771292,126.5914082
5405.425291,1776.680587,730.4281721,532.9886568,900.8551361,348.9740563,542.0052104,125.4697758
6268.285021,3101.918019,656.7072246,441.7202242,828.3185055,1951.167615,521.8115641,123.6558345
7472.066168,3195.117904,610.6929666,353.3707683,790.5970433,975.5838076,483.6309397,120.7406741
8975.905395,4509.446646,585.6438685,289.6808714,776.0346151,487.7919038,422.5541634,116.0920575
10584.4156,6482.947083,578.8637122,216.6736085,776.67656,243.8959519,377.0486894,111.2486026
12375.26199,8293.455031,575.9145058,140.9095019,786.1606047,121.947976,346.1224957,106.4056795
14173.9958,10020.18566,594.1550378,71.12003128,811.3082786,60.97398798,325.5378236,102.002119
16221.71994,12280.24908,607.3890009,5.649951478,845.7191645,30.48699399,317.5796825,97.62145783
18222.08103,14081.76332,611.3790756,0,883.1406272,15.24349699,317.4438884,94.7480567
4064.554471,15907.35757,620.4386947,1640.892453,933.3309693,7.621748497,311.820992,91.67174659
4999.120114,16378.87561,639.854507,1564.626675,992.9328314,3.810874249,310.7556536,89.69777112
6174.546702,16856.69463,664.3549844,1483.448632,1048.145591,1.905437124,313.5400909,88.63138104
7747.557892,17253.03854,668.2780803,1405.238671,1067.801629,16857.64735,316.3160752,88.01833235
9522.912493,3982.793249,675.7187833,1326.92897,1109.225633,8428.823674,320.251157,88.12350318
11806.81598,690.4112498,710.9294699,1249.914701,1140.582754,4214.411837,325.6539867,88.51480556
14355.68081,1720.285133,762.4974726,1166.119959,1187.803252,2107.205918,329.2650062,89.13177188
17338.50075,4918.165898,779.0913263,1074.496667,1192.244346,1053.602959,329.4276056,89.75378528
21178.21111,8757.624108,825.9787265,979.943797,1190.18167,526.8014796,336.8660635,91.39493184
23544.64503,13032.29162,905.8042628,874.9442842,1214.752018,9021.024847,342.9060055,92.6295802
25652.12785,8412.775725,1001.258369,767.347943,1267.220801,4510.512424,355.9977266,93.06332004
27155.96415,9974.324427,1092.057014,644.089007,1332.941152,2255.256212,363.1194336,93.54078099
28877.76667,13311.54512,1213.507092,512.6880909,1416.066483,1127.628106,376.5284631,94.45959868
29418.963,14050.04233,1312.608749,359.2761518,1506.267537,563.814053,389.4909207,95.49174742
30202.33473,16030.82684,1421.470161,207.5862937,1586.198496,281.9070265,406.598756,97.08639084
30620.31969,15703.944,1510.121633,40.12663479,1672.819248,140.9535132,426.0548324,98.69742415
30164.44724,15966.70748,1591.104682,0,1769.818313,70.47675662,447.6353403,100.5020288
3381.787282,16669.2186,1672.970084,2709.114057,1871.925493,35.23837831,473.9626996,103.1975653
4003.325126,16876.94347,1725.798265,2501.563714,1977.965717,17.61918916,492.6101074,105.7940583
4807.742326,16936.07994,1788.495622,2297.252245,2085.50235,8.809594578,513.9177885,108.2680449
5706.962628,17167.94842,1691.751439,2088.44417,1971.762975,16940.48474,533.8478555,111.325341
6828.449679,3724.082658,1620.903149,1886.246478,1919.083626,8470.24237,553.4670303,114.3879878
8094.448222,0,1620.969583,1688.723696,1859.801392,4235.121185,570.5627703,117.2950689
9513.698397,2839.998202,1648.849805,1497.07316,1852.204905,2117.560593,584.4474945,119.0374368
10994.40116,3762.550144,1531.016393,1295.390667,1676.056633,1058.780296,585.7060653,121.6482314
12546.72585,5629.879397,1398.662509,1117.814333,1527.840389,529.3901481,588.0793851,123.3654311
14313.72368,8254.494202,1381.667267,951.5600078,1476.841389,5894.574471,590.8981738,124.628642
15669.22298,5839.764461,1431.967993,788.7290876,1467.636779,2947.287235,588.2151427,125.2214532
17177.73369,6225.125616,1507.44437,619.7405772,1461.887636,1473.643618,574.8531672,124.681065
18150.32318,7602.585648,1562.777326,432.398543,1483.68439,736.8218088,560.9500345,124.0771439
19363.0063,8246.966596,1607.530107,242.0375569,1518.011728,368.4109044,557.9561925,123.5645132
20126.41879,9921.690944,1633.131953,45.60478995,1558.287075,184.2054522,564.1295596,122.7099301
20194.20571,10886.56185,1660.1618,0,1611.968747,92.10272611,565.7020077,122.4044003
20757.52351,11182.68764,1682.850216,0,1665.786632,46.05136305,575.6033082,121.8838597
20650.74773,11504.15892,1701.307003,9.111057642,1720.505352,23.02568153,586.3815204,121.8897952
2165.263386,11406.5723,1696.394354,1679.27774,1787.206152,11.51284076,598.7157579,122.2674288
2347.95275,11405.94165,1703.206991,1484.846886,1849.22779,5.756420382,607.3893999,122.0452709
2553.347322,11430.36218,1719.038654,1274.162522,1911.388706,11408.81986,612.0840478,122.9348409
2824.439494,2351.862527,1470.366045,1062.943928,1708.487294,5704.409931,611.0283057,123.8337589
3133.266699,0,1347.023162,891.5710987,1564.944949,2852.204965,613.2971498,125.1011141
3582.0083,1074.895286,1256.747025,725.8902377,1490.395524,1426.102483,616.5788334,126.3832441
4175.441102,886.9311625,945.9459108,577.9293961,1183.029703,713.0512414,603.9377068,126.49374
4867.915162,1547.300312,677.1466021,460.5086662,917.0035532,356.5256207,573.3436761,126.7223141
5758.613487,2668.925278,616.4402076,379.3893131,830.3705821,1725.563122,548.3814964,125.8722587
6732.459511,2908.241785,562.2432145,300.9151519,779.2017087,862.781561,494.6052555,123.3466948
7911.060398,4185.436597,524.8471385,237.0723617,755.0594804,431.3907805,412.5849765,119.4141873
9245.192215,5952.814135,511.5364923,173.7010127,745.1401006,215.6953903,367.2007224,114.4477272
10913.83032,7710.754201,512.4850985,118.6109752,750.8763679,107.8476951,335.818114,109.3898112
12958.96329,9612.10818,521.0771245,58.7242272,766.3608417,53.92384756,312.8642655,103.2665977
14827.64024,11698.48894,533.7964552,1.382521354,794.8248739,26.96192378,299.4954079,98.32249661
17406.25343,12852.72848,533.6408679,0,823.298456,13.48096189,291.4288963,93.72744489
19662.84329,14421.19714,541.2396566,2.290909114,865.2049343,6.740480945,288.849654,90.14995132
3816.018651,15266.52778,557.0163062,1725.732912,919.1588856,3.370240473,292.268255,87.86582424
4834.852226,15693.10078,567.1304134,1657.943573,974.4166587,1.685120236,287.3690264,86.26577484
5992.200356,16220.80919,583.3392029,1592.267119,1036.927869,15693.94334,288.9849677,85.51522001
7827.563197,4224.609779,588.004108,1523.964775,1063.167505,7846.971671,291.5519407,85.34599037
9668.578978,768.1090736,588.9658025,1461.28397,1093.351883,3923.485835,294.0736217,85.58044966
12122.08186,1463.482091,611.9358207,1389.507371,1117.220878,1961.742918,299.2868248,86.25422414
14646.79084,4740.048305,621.8383954,1316.936067,1119.625929,980.8714589,304.6012106,87.6027054
