big,mid,non
2000,2000,2000
2605.6,2586.1,2566.5
3569.2,3478.9,3389.5
6444,6267,6092.4
8050.6,7847.8,7646.8
9719.7,9528.6,9336.5
11107,11102,11088
13327,13043,12748
15130,14631,14130
15656,15462,15246
15592,15696,15782
15203,15739,16267
15266,15772,16274
14875,15348,15823
14061,14612,15172
13983,14417,14854
13900,14211,14520
13956,14052,14139
1205.1,1115.4,1027.2
1241.2,1133.8,1028.7
1927.1,1741.3,1559.7
2102.1,1894,1687.6
2315.5,2131.5,1937.3
2632.6,2480.1,2304.5
3201.3,3017.2,2804.5
3945.1,3702.1,3426.3
4825.5,4545.3,4223.1
6030.4,5630.7,5187.3
7391.7,6901.1,6360
8921.5,8361.7,7740.4
10658,9939.1,9162.8
12508,11615,10674
14093,13208,12260
14387,14177,13817
15856,15620,15253
2107.5,2436.2,2762
2513.5,2928.5,3339.1
4327.4,5054.2,5769.4
5344.2,6202.4,7028.8
6401.1,7482,8534.5
8232.4,9363.9,10382
10344,11527,12527
12398,13666,14720
14585,15921,17034
16293,17654,18808
18012,19325,20422
20370,20937,21222
20307,20754,21017
20597,20489,20279
19811,19855,19863
18737,18990,19247
18485,18445,18441
18002,17756,17572
1760.4,1316.6,893.89
1974.3,1391.9,841.01
3130.5,2143.9,1185.3
3502.8,2362.9,1194.5
4218,2876.5,1436.8
5548.6,3703.5,1781.4
6612.7,4535.8,2220.6
7969.6,5570.2,2773.6
9436.1,6750,3443
10384,7854.3,4240.6
11502,9073,5157.5
12484,10185,6094.7
12993,11057,7067.2
13359,11783,8053.9
12587,11895,8994.7
12937,12357,9840
12947,12560,10555
524.24,987.52,1622.1
395.5,988.09,1794.6
397.93,1455.7,2891.3
195.2,1512.8,3261.5
87.619,1725.6,3771.7
15.555,2045.9,4443.3
0,2431,5236.5
0,2960.4,6228
0,3611.5,7348.2
0,4310.7,8641.9
0,5297.1,10044
0,6451.7,11301
0,7672.8,12482
0,9032.3,13629
0,10367,14641
0,11826,15465
0,13136,16087
0,2709.7,2038.6
0,3258.4,2393.7
0,5581.4,4047.8
0,6837,4885.8
0,8346.9,6117
0,10312,7752.8
0,12355,9710.4
0,14877,12038
0,18040,14474
0,19580,16951
0,20498,19038
0,20167,20157
0,19942,20521
0,19096,20571
